strain,1,2,3,4,5,6,7,8,9,10,11,12
A,GFC0509,GFC0509,GFC0509,GFC0509,GFC0509,GFC0509,GFC0509,GFC0509,GFC0509,GFC0509,GFC0509,GFC0509
B,GFC0509,GFC0509,GFC0509,GFC0509,GFC0509,GFC0509,GFC0509,GFC0509,GFC0509,GFC0509,GFC0509,GFC0509
C,GFC0310,GFC0310,GFC0310,GFC0310,GFC0310,GFC0310,GFC0310,GFC0310,GFC0310,GFC0310,GFC0310,GFC0310
D,GFC0310,GFC0310,GFC0310,GFC0310,GFC0310,GFC0310,GFC0310,GFC0310,GFC0310,GFC0310,GFC0310,GFC0310
E,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699
F,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699
G,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699
H,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699,GFC0699
,,,,,,,,,,,,
concentration,1,2,3,4,5,6,7,8,9,10,11,12
A,0,0.000001,0.000025,0.00005,0.0001,0.0002,0.0005,0.002,0.005,0.01,0.02,0.2
B,0,0.000001,0.000025,0.00005,0.0001,0.0002,0.0005,0.002,0.005,0.01,0.02,0.2
C,0,0.01,0.03,0.05,0.1,0.3,0.5,1,10,25,50,100
D,0,0.01,0.03,0.05,0.1,0.3,0.5,1,10,25,50,100
E,0,12.5,25,50,125,150,250,500,1000,1250,2500,5000
F,0,12.5,25,50,125,150,250,500,1000,1250,2500,5000
G,0,12.5,25,50,125,150,250,500,1000,1250,2500,5000
H,0,12.5,25,50,125,150,250,500,1000,1250,2500,5000
,,,,,,,,,,,,
promoter,1,2,3,4,5,6,7,8,9,10,11,12
A,Pbad,Pbad,Pbad,Pbad,Pbad,Pbad,Pbad,Pbad,Pbad,Pbad,Pbad,Pbad
B,Pbad,Pbad,Pbad,Pbad,Pbad,Pbad,Pbad,Pbad,Pbad,Pbad,Pbad,Pbad
C,Ptet,Ptet,Ptet,Ptet,Ptet,Ptet,Ptet,Ptet,Ptet,Ptet,Ptet,Ptet
D,Ptet,Ptet,Ptet,Ptet,Ptet,Ptet,Ptet,Ptet,Ptet,Ptet,Ptet,Ptet
E,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU
F,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU
G,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU
H,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU,PpcaU
,,,,,,,,,,,,
copy,1,2,3,4,5,6,7,8,9,10,11,12
A,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint
B,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint
C,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint
D,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint
E,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint
F,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint
G,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint
H,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint,chrint
